Rank,Zip Code,Population
"1,073",93410,"7,021"
"1,074",93510,"7,010"
"1,075",93591,"6,914"
"1,076",95642,"6,913"
"1,077",95019,"6,912"
"1,078",92356,"6,901"
"1,079",96094,"6,846"
"1,080",95436,"6,602"
"1,081",94028,"6,582"
"1,082",95709,"6,495"
"1,083",93234,"6,485"
"1,084",94720,"6,467"
"1,085",93924,"6,416"
"1,086",95619,"6,407"
"1,087",92624,"6,398"
"1,088",95987,"6,370"
"1,089",92342,"6,347"
"1,090",95683,"6,311"
"1,091",93022,"6,140"
"1,092",95467,"6,109"
"1,093",95971,"6,106"
"1,094",93267,"6,079"
"1,095",95658,"6,023"
"1,096",95631,"6,022"
"1,097",95046,"6,005"
"1,098",93615,"5,994"
"1,099",95626,"5,978"
"1,100",95202,"5,976"
"1,101",95672,"5,937"
"1,102",93460,"5,933"
"1,103",93427,"5,913"
"1,104",93240,"5,912"
"1,105",95470,"5,903"
"1,106",92861,"5,864"
"1,107",95018,"5,853"
"1,108",93256,"5,823"
"1,109",93656,"5,777"
"1,110",93428,"5,721"
"1,111",92372,"5,701"
"1,112",92823,"5,626"
"1,113",95666,"5,542"
"1,114",95249,"5,533"
"1,115",93225,"5,483"
"1,116",95671,"5,386"
"1,117",92352,"5,382"
"1,118",96073,"5,377"
"1,119",92590,"5,364"
"1,120",96101,"5,343"
"1,121",92363,"5,312"
"1,122",93609,"5,309"
"1,123",93106,"5,295"
"1,124",92315,"5,225"
"1,125",92397,"5,215"
"1,126",95222,"5,161"
"1,127",93501,"5,128"
"1,128",90290,"5,114"
"1,129",95692,"5,044"
"1,130",92369,"4,957"
"1,131",95231,"4,933"
"1,132",95722,"4,930"
"1,133",92210,"4,827"
"1,134",92539,"4,821"
"1,135",95685,"4,814"
"1,136",93451,"4,811"
"1,137 TIE",93270,"4,806"
"1,137 TIE",95655,"4,806"
"1,139",94005,"4,803"
"1,140",95912,"4,782"
"1,141",95446,"4,781"
"1,142",95236,"4,756"
"1,143",94111,"4,707"
"1,144",96088,"4,685"
"1,145",95665,"4,650"
"1,146",93272,"4,598"
"1,147",95614,"4,580"
"1,148",95228,"4,571"
"1,149",91906,"4,547"
"1,150",96013,"4,519"
"1,151",93202,"4,491"
"1,152",93235,"4,459"
"1,153",96064,"4,442"
"1,154",95623,"4,411"
"1,155",96093,"4,391"
"1,156",92382,"4,323"
